MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Fluggäste,Aussteigende,2021,Summe,667446,5619856,,-88.12,
Fluggäste,Aussteigende,2021,202101,111995,1624796,4.17,-93.11,342255
Fluggäste,Aussteigende,2021,202102,68677,1475403,-38.68,-95.35,225027
Fluggäste,Aussteigende,2021,202103,106073,708571,54.45,-85.03,174819
Fluggäste,Aussteigende,2021,202104,154263,14550,45.43,960.23,186462
Fluggäste,Aussteigende,2021,202105,226438,20510,46.79,1004.04,203623
Fluggäste,Aussteigende,2021,202106,,106784,,,
Fluggäste,Aussteigende,2021,202107,,313542,,,
Fluggäste,Aussteigende,2021,202108,,435496,,,
Fluggäste,Aussteigende,2021,202109,,387406,,,
Fluggäste,Aussteigende,2021,202110,,298755,,,
Fluggäste,Aussteigende,2021,202111,,126530,,,
Fluggäste,Aussteigende,2021,202112,,107513,,,
Fluggäste,Aussteigende,2020,Summe,5619856,24039970,,-76.62,
Fluggäste,Aussteigende,2020,202001,1624796,1580672,-3.15,2.79,2007008
Fluggäste,Aussteigende,2020,202002,1475403,1520060,-9.19,-2.94,2003286
Fluggäste,Aussteigende,2020,202003,708571,1899555,-51.97,-62.7,1904038
Fluggäste,Aussteigende,2020,202004,14550,2006691,-97.95,-99.27,1738026
Fluggäste,Aussteigende,2020,202005,20510,2149517,40.96,-99.05,1560609
Fluggäste,Aussteigende,2020,202006,106784,2271273,420.64,-95.3,1380235
Fluggäste,Aussteigende,2020,202007,313542,2310870,193.62,-86.43,1213791
Fluggäste,Aussteigende,2020,202008,435496,2229126,38.9,-80.46,1064322
Fluggäste,Aussteigende,2020,202009,387406,2384213,-11.04,-83.75,897921
Fluggäste,Aussteigende,2020,202010,298755,2209968,-22.88,-86.48,738653
Fluggäste,Aussteigende,2020,202011,126530,1800426,-57.65,-92.97,599162
Fluggäste,Aussteigende,2020,202012,107513,1677599,-15.03,-93.59,468321
Fluggäste,Aussteigende,2019,Summe,24039970,23183728,,3.69,
Fluggäste,Aussteigende,2019,201901,1580672,1502706,-3.82,5.19,1938475
Fluggäste,Aussteigende,2019,201902,1520060,1466202,-3.83,3.67,1942963
Fluggäste,Aussteigende,2019,201903,1899555,1810391,24.97,4.93,1950393
Fluggäste,Aussteigende,2019,201904,2006691,1929356,5.64,4.01,1956838
Fluggäste,Aussteigende,2019,201905,2149517,2010969,7.12,6.89,1968383
Fluggäste,Aussteigende,2019,201906,2271273,2182916,5.66,4.05,1975746
Fluggäste,Aussteigende,2019,201907,2310870,2204148,1.74,4.84,1984640
Fluggäste,Aussteigende,2019,201908,2229126,2138064,-3.54,4.26,1992228
Fluggäste,Aussteigende,2019,201909,2384213,2325569,6.96,2.52,1997115
Fluggäste,Aussteigende,2019,201910,2209968,2160710,-7.31,2.28,2001220
Fluggäste,Aussteigende,2019,201911,1800426,1809261,-18.53,-0.49,2000484
Fluggäste,Aussteigende,2019,201912,1677599,1643436,-6.82,2.08,2003331
Fluggäste,Aussteigende,2018,Summe,23183728,22340548,,3.77,
Fluggäste,Aussteigende,2018,201801,1502706,1492623,-2.44,0.68,1862553
Fluggäste,Aussteigende,2018,201802,1466202,1451179,-2.43,1.04,1863805
Fluggäste,Aussteigende,2018,201803,1810391,1772870,23.47,2.12,1866931
Fluggäste,Aussteigende,2018,201804,1929356,1864626,6.57,3.47,1872325
Fluggäste,Aussteigende,2018,201805,2010969,1974513,4.23,1.85,1875363
Fluggäste,Aussteigende,2018,201806,2182916,2054542,8.55,6.25,1886061
Fluggäste,Aussteigende,2018,201807,2204148,2161568,0.97,1.97,1889610
Fluggäste,Aussteigende,2018,201808,2138064,2049392,-3,4.33,1896999
Fluggäste,Aussteigende,2018,201809,2325569,2256926,8.77,3.04,1902719
Fluggäste,Aussteigende,2018,201810,2160710,1999521,-7.09,8.06,1916152
Fluggäste,Aussteigende,2018,201811,1809261,1722549,-16.27,5.03,1923378
Fluggäste,Aussteigende,2018,201812,1643436,1540239,-9.17,6.7,1931977
Fluggäste,Aussteigende,2017,Summe,22340548,21142346,,5.67,
Fluggäste,Aussteigende,2017,201701,1492623,1395129,-1.27,6.99,1769987
Fluggäste,Aussteigende,2017,201702,1451179,1405095,-2.78,3.28,1773827
Fluggäste,Aussteigende,2017,201703,1772870,1655554,22.17,7.09,1783603
Fluggäste,Aussteigende,2017,201704,1864626,1709221,5.18,9.09,1796554
Fluggäste,Aussteigende,2017,201705,1974513,1850310,5.89,6.71,1806904
Fluggäste,Aussteigende,2017,201706,2054542,1931957,4.05,6.35,1817119
