MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Empfänger*innen nach SGB XII,Deutsche,2021,202101,12951,12401,0.05,4.44,12833
Empfänger*innen nach SGB XII,Deutsche,2021,202102,12967,12494,0.12,3.79,12873
Empfänger*innen nach SGB XII,Deutsche,2021,202103,12983,12640,0.12,2.71,12901
Empfänger*innen nach SGB XII,Deutsche,2021,202104,,12732,,,
Empfänger*innen nach SGB XII,Deutsche,2021,202105,,12764,,,
Empfänger*innen nach SGB XII,Deutsche,2021,202106,,12802,,,
Empfänger*innen nach SGB XII,Deutsche,2021,202107,,12952,,,
Empfänger*innen nach SGB XII,Deutsche,2021,202108,,12929,,,
Empfänger*innen nach SGB XII,Deutsche,2021,202109,,12911,,,
Empfänger*innen nach SGB XII,Deutsche,2021,202110,,12918,,,
Empfänger*innen nach SGB XII,Deutsche,2021,202111,,12962,,,
Empfänger*innen nach SGB XII,Deutsche,2021,202112,,12945,,,
Empfänger*innen nach SGB XII,Deutsche,2020,202001,12401,13559,-2.81,-8.54,13013
Empfänger*innen nach SGB XII,Deutsche,2020,202002,12494,13422,0.75,-6.91,12935
Empfänger*innen nach SGB XII,Deutsche,2020,202003,12640,13393,1.17,-5.62,12873
Empfänger*innen nach SGB XII,Deutsche,2020,202004,12732,13238,0.73,-3.82,12831
Empfänger*innen nach SGB XII,Deutsche,2020,202005,12764,13177,0.25,-3.13,12796
Empfänger*innen nach SGB XII,Deutsche,2020,202006,12802,13090,0.3,-2.2,12772
Empfänger*innen nach SGB XII,Deutsche,2020,202007,12952,13035,1.17,-0.64,12765
Empfänger*innen nach SGB XII,Deutsche,2020,202008,12929,13020,-0.18,-0.7,12758
Empfänger*innen nach SGB XII,Deutsche,2020,202009,12911,12944,-0.14,-0.25,12755
Empfänger*innen nach SGB XII,Deutsche,2020,202010,12918,12877,0.05,0.32,12758
Empfänger*innen nach SGB XII,Deutsche,2020,202011,12962,12796,0.34,1.3,12772
Empfänger*innen nach SGB XII,Deutsche,2020,202012,12945,12760,-0.13,1.45,12788
Empfänger*innen nach SGB XII,Deutsche,2019,201901,13559,14312,-2.29,-5.26,14268
Empfänger*innen nach SGB XII,Deutsche,2019,201902,13422,14349,-1.01,-6.46,14191
Empfänger*innen nach SGB XII,Deutsche,2019,201903,13393,14353,-0.22,-6.69,14111
Empfänger*innen nach SGB XII,Deutsche,2019,201904,13238,14387,-1.16,-7.99,14015
Empfänger*innen nach SGB XII,Deutsche,2019,201905,13177,14370,-0.46,-8.3,13915
Empfänger*innen nach SGB XII,Deutsche,2019,201906,13090,14376,-0.66,-8.95,13808
Empfänger*innen nach SGB XII,Deutsche,2019,201907,13035,14396,-0.42,-9.45,13695
Empfänger*innen nach SGB XII,Deutsche,2019,201908,13020,14372,-0.12,-9.41,13582
Empfänger*innen nach SGB XII,Deutsche,2019,201909,12944,14390,-0.58,-10.05,13462
Empfänger*innen nach SGB XII,Deutsche,2019,201910,12877,14418,-0.52,-10.69,13333
