GENESIS-Tabelle: 46421-0009
Starts, Landungen (Flight Stage): Deutschland, Monate,;;;;;;;;;;;;;;;
Berichtsflughafen;;;;;;;;;;;;;;;
Verkehrsleistungsstatistik im Luftverkehr;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;
;;;;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021
;;;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
F-BER;Berlin-Brandenburg;Starts;Anzahl;1724;1243;1665;2081;2301;3423;5358;5861;6113;...;...;...
F-BER;Berlin-Brandenburg;Landungen;Anzahl;1744;1251;1643;2104;2286;3390;5386;5926;6126;...;...;...
F-SXF;Berlin-Schönefeld;Starts;Anzahl;-;-;-;-;-;-;-;-;-;...;...;...
F-SXF;Berlin-Schönefeld;Landungen;Anzahl;-;-;-;-;-;-;-;-;-;...;...;...
F-TXL;Berlin-Tegel;Starts;Anzahl;-;-;-;-;-;-;-;-;-;...;...;...
F-TXL;Berlin-Tegel;Landungen;Anzahl;-;-;-;-;-;-;-;-;-;...;...;...
F-BRE;Bremen;Starts;Anzahl;205;272;274;383;352;437;769;709;730;...;...;...
F-BRE;Bremen;Landungen;Anzahl;211;273;262;387;344;443;762;718;732;...;...;...
F-DTM;Dortmund;Starts;Anzahl;446;420;720;904;894;1336;1536;1479;1424;...;...;...
F-DTM;Dortmund;Landungen;Anzahl;444;422;717;904;892;1335;1534;1480;1423;...;...;...
F-DRS;Dresden;Starts;Anzahl;58;49;75;130;170;254;356;367;477;...;...;...
F-DRS;Dresden;Landungen;Anzahl;61;49;75;134;169;254;359;368;479;...;...;...
F-DUS;Düsseldorf;Starts;Anzahl;1216;881;1299;1641;1985;2782;4835;4932;5279;...;...;...
F-DUS;Düsseldorf;Landungen;Anzahl;1237;868;1293;1650;2001;2774;4796;5038;5290;...;...;...
F-ERF;Erfurt;Starts;Anzahl;63;91;126;147;107;149;210;182;190;...;...;...
F-ERF;Erfurt;Landungen;Anzahl;63;94;130;156;122;147;211;181;207;...;...;...
F-FRA;Frankfurt/Main;Starts;Anzahl;6456;5340;6659;7560;8287;9803;13564;14149;13729;...;...;...
F-FRA;Frankfurt/Main;Landungen;Anzahl;6429;5374;6637;7574;8310;9738;13525;14194;13721;...;...;...
F-FDH;Friedrichshafen;Starts;Anzahl;34;46;39;61;78;244;369;354;386;...;...;...
F-FDH;Friedrichshafen;Landungen;Anzahl;20;43;37;52;75;239;360;354;381;...;...;...
F-HHN;Hahn;Starts;Anzahl;319;271;271;382;362;492;624;602;596;...;...;...
F-HHN;Hahn;Landungen;Anzahl;314;272;269;379;366;494;616;607;594;...;...;...
F-HAM;Hamburg;Starts;Anzahl;920;675;905;1186;1419;2033;3132;3015;3373;...;...;...
