Gebietsartschlüssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler gesamt;Wähler mit Wahlschein;Ungültige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÜNE;Anteil GRÜNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÄHLER;Anteil FREIE WÄHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÖDP;Anteil ÖDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BüSo;Anteil BüSo;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Partei³;Anteil V-Partei³
BTSB;1;11;13614;7831;5783;0;5681;110;12;1544;27,23584 %;800;14,11184 %;1177;20,76204 %;1121;19,77421 %;338;5,96225 %;482;8,50238 %;24;0,42336 %;13;0,22932 %;36;0,63503 %;6;0,10584 %;5;0,08820 %;39;0,68795 %;2;0,03528 %;1;0,01764 %;14;0,24696 %;16;0,28224 %;1;0,01764 %;5;0,08820 %;32;0,56447 %;4;0,07056 %;9;0,15876 %
BTSB;2;11;32221;19049;13167;5;14153;272;52;3015;21,38146 %;2151;15,25424 %;3746;26,56549 %;2159;15,31097 %;717;5,08475 %;1630;11,55946 %;64;0,45387 %;59;0,41841 %;77;0,54606 %;42;0,29785 %;5;0,03546 %;71;0,50351 %;9;0,06383 %;3;0,02128 %;43;0,30494 %;81;0,57443 %;3;0,02128 %;18;0,12765 %;177;1,25523 %;5;0,03546 %;26;0,18438 %
BTSB;3;11;34632;19983;14645;4;14899;355;36;3564;23,97901 %;2282;15,35356 %;3324;22,36426 %;2608;17,54693 %;874;5,88037 %;1537;10,34112 %;96;0,64590 %;57;0,38350 %;97;0,65263 %;29;0,19512 %;6;0,04037 %;86;0,57862 %;11;0,07401 %;1;0,00673 %;28;0,18839 %;34;0,22876 %;1;0,00673 %;28;0,18839 %;163;1,09668 %;6;0,04037 %;31;0,20857 %
BTSB;4;11;45881;27631;18249;1;20507;358;68;4829;23,62640 %;3571;17,47150 %;4504;22,03630 %;3150;15,41171 %;1395;6,82519 %;2080;10,17662 %;136;0,66539 %;66;0,32291 %;161;0,78771 %;61;0,29845 %;17;0,08317 %;120;0,58711 %;10;0,04893 %;5;0,02446 %;35;0,17124 %;67;0,32780 %;3;0,01468 %;15;0,07339 %;176;0,86110 %;9;0,04403 %;29;0,14189 %
BTSB;5;11;39651;23853;15797;1;17810;362;64;3730;21,01882 %;2976;16,76998 %;4508;25,40291 %;2342;13,19734 %;1019;5,74214 %;2203;12,41407 %;126;0,71002 %;92;0,51843 %;143;0,80582 %;66;0,37191 %;6;0,03381 %;126;0,71002 %;7;0,03945 %;6;0,03381 %;51;0,28739 %;59;0,33247 %;4;0,02254 %;22;0,12397 %;211;1,18900 %;16;0,09016 %;33;0,18596 %
BTSB;6;11;25650;16150;9498;2;11679;170;52;2523;21,69949 %;2132;18,33663 %;2706;23,27342 %;1290;11,09487 %;864;7,43098 %;1433;12,32476 %;87;0,74826 %;46;0,39563 %;79;0,67945 %;50;0,43003 %;8;0,06881 %;100;0,86007 %;7;0,06020 %;3;0,02580 %;41;0,35263 %;55;0,47304 %;3;0,02580 %;24;0,20642 %;152;1,30730 %;10;0,08601 %;14;0,12041 %
BTSB;7;11;35813;23377;12436;0;16076;163;74;4439;27,74028 %;2879;17,99150 %;2757;17,22910 %;1950;12,18598 %;1484;9,27384 %;1484;9,27384 %;164;1,02487 %;101;0,63117 %;136;0,84989 %;83;0,51869 %;17;0,10624 %;154;0,96238 %;5;0,03125 %;5;0,03125 %;32;0,19998 %;69;0,43120 %;1;0,00625 %;13;0,08124 %;177;1,10611 %;19;0,11874 %;33;0,20622 %
BTSB;8;11;16391;10667;5724;0;7574;144;50;1456;19,35141 %;1344;17,86284 %;1882;25,01329 %;792;10,52632 %;501;6,65869 %;1066;14,16800 %;58;0,77087 %;46;0,61138 %;51;0,67783 %;29;0,38543 %;6;0,07974 %;75;0,99681 %;3;0,03987 %;4;0,05316 %;20;0,26582 %;45;0,59809 %;1;0,01329 %;17;0,22594 %;103;1,36895 %;6;0,07974 %;19;0,25253 %
BTSB;9;11;63111;38527;24580;4;28092;474;101;7019;25,07592 %;4841;17,29484 %;5792;20,69237 %;3640;13,00418 %;2238;7,99543 %;2968;10,60341 %;203;0,72523 %;114;0,40727 %;246;0,87885 %;137;0,48944 %;23;0,08217 %;206;0,73595 %;5;0,01786 %;9;0,03215 %;74;0,26437 %;77;0,27509 %;7;0,02501 %;40;0,14290 %;277;0,98960 %;28;0,10003 %;47;0,16791 %
BTSB;10;11;30732;20834;9897;1;13749;133;66;3975;29,05065 %;2655;19,40364 %;1857;13,57159 %;1564;11,43024 %;1630;11,91259 %;1117;8,16341 %;157;1,14741 %;62;0,45312 %;109;0,79661 %;114;0,83315 %;9;0,06578 %;140;1,02317 %;6;0,04385 %;6;0,04385 %;27;0,19733 %;32;0,23387 %;7;0,05116 %;19;0,13886 %;140;1,02317 %;28;0,20463 %;29;0,21194 %
BTSB;11;11;36441;26135;10306;0;15696;200;114;4089;26,24182 %;3270;20,98575 %;1984;12,73264 %;1626;10,43512 %;1989;12,76473 %;1545;9,91529 %;215;1,37980 %;95;0,60968 %;125;0,80221 %;92;0,59042 %;17;0,10910 %;170;1,09100 %;13;0,08343 %;1;0,00642 %;39;0,25029 %;47;0,30163 %;3;0,01925 %;49;0,31447 %;164;1,05250 %;21;0,13477 %;28;0,17969 %
BTSB;12;11;45689;28449;17238;2;19764;285;89;5330;27,09022 %;3270;16,62008 %;3423;17,39771 %;3089;15,70013 %;1802;9,15883 %;1726;8,77255 %;159;0,80813 %;90;0,45743 %;153;0,77764 %;96;0,48793 %;15;0,07624 %;119;0,60483 %;6;0,03050 %;4;0,02033 %;37;0,18806 %;80;0,40661 %;9;0,04574 %;25;0,12706 %;193;0,98094 %;11;0,05591 %;38;0,19314 %
BTSB;13;11;55239;34017;21221;1;24838;341;90;7788;31,46921 %;3933;15,89219 %;3760;15,19315 %;4135;16,70842 %;2307;9,32197 %;1705;6,88945 %;206;0,83239 %;88;0,35558 %;177;0,71521 %;100;0,40407 %;19;0,07677 %;161;0,65056 %;8;0,03233 %;3;0,01212 %;40;0,16163 %;64;0,25861 %;1;0,00404 %;36;0,14547 %;162;0,65460 %;14;0,05657 %;41;0,16567 %
BTSB;14;11;25719;17246;8473;0;10904;78;57;2940;27,10427 %;2074;19,12049 %;1571;14,48327 %;1215;11,20125 %;1341;12,36287 %;1041;9,59712 %;144;1,32756 %;50;0,46096 %;68;0,62690 %;71;0,65456 %;10;0,09219 %;101;0,93113 %;7;0,06453 %;7;0,06453 %;16;0,14751 %;24;0,22126 %;5;0,04610 %;23;0,21204 %;105;0,96801 %;13;0,11985 %;21;0,19360 %
BTSB;15;11;43154;28730;14424;0;21127;184;87;7269;34,54848 %;3286;15,61787 %;3076;14,61977 %;2902;13,79278 %;2021;9,60551 %;1338;6,35932 %;255;1,21198 %;102;0,48479 %;165;0,78422 %;103;0,48954 %;18;0,08555 %;172;0,81749 %;10;0,04753 %;5;0,02376 %;34;0,16160 %;55;0,26141 %;6;0,02852 %;24;0,11407 %;154;0,73194 %;14;0,06654 %;31;0,14734 %
BTSB;16;11;61792;43009;18780;3;27197;241;179;8130;30,09105 %;5293;19,59064 %;3434;12,71005 %;2841;10,51521 %;3285;12,15856 %;2329;8,62018 %;335;1,23991 %;174;0,64402 %;207;0,76616 %;175;0,64772 %;39;0,14435 %;234;0,86609 %;23;0,08513 %;7;0,02591 %;47;0,17396 %;75;0,27759 %;9;0,03331 %;76;0,28129 %;238;0,88089 %;25;0,09253 %;42;0,15545 %
BTSB;17;11;31409;20722;10684;3;13781;174;87;3318;24,22959 %;2591;18,92070 %;2416;17,64276 %;1467;10,71272 %;1372;10,01899 %;1589;11,60362 %;166;1,21221 %;72;0,52578 %;101;0,73755 %;84;0,61341 %;20;0,14605 %;115;0,83978 %;24;0,17526 %;6;0,04381 %;33;0,24098 %;43;0,31401 %;4;0,02921 %;36;0,26289 %;184;1,34365 %;12;0,08763 %;41;0,29940 %
BTSB;18;11;34561;21448;13110;3;15309;241;55;4034;26,44552 %;2374;15,56313 %;3164;20,74210 %;1982;12,99331 %;1274;8,35191 %;1566;10,26616 %;134;0,87846 %;75;0,49167 %;139;0,91124 %;54;0,35401 %;14;0,09178 %;134;0,87846 %;9;0,05900 %;4;0,02622 %;46;0,30156 %;61;0,39990 %;6;0,03933 %;27;0,17700 %;124;0,81290 %;13;0,08522 %;20;0,13111 %
BTSB;19;11;58982;37732;21248;2;26846;318;141;8178;30,62348 %;4439;16,62236 %;4038;15,12076 %;3831;14,34563 %;2817;10,54859 %;2024;7,57911 %;265;0,99232 %;108;0,40442 %;222;0,83130 %;137;0,51301 %;20;0,07489 %;203;0,76016 %;3;0,01123 %;8;0,02996 %;36;0,13481 %;58;0,21719 %;6;0,02247 %;22;0,08238 %;224;0,83879 %;22;0,08238 %;44;0,16476 %
BTSB;20;11;30310;20351;9958;1;14382;126;75;4560;31,87251 %;2458;17,18040 %;1986;13,88132 %;1795;12,54631 %;1491;10,42147 %;1160;8,10792 %;153;1,06941 %;70;0,48927 %;116;0,81079 %;93;0,65003 %;10;0,06990 %;127;0,88768 %;7;0,04893 %;6;0,04194 %;27;0,18872 %;56;0,39142 %;2;0,01398 %;23;0,16076 %;134;0,93660 %;15;0,10484 %;18;0,12581 %
BTSB;21;11;46944;30073;16870;1;22327;221;96;6792;30,55193 %;3679;16,54896 %;3880;17,45311 %;3140;14,12442 %;1986;8,93347 %;1648;7,41307 %;186;0,83667 %;70;0,31488 %;196;0,88165 %;110;0,49480 %;16;0,07197 %;155;0,69722 %;5;0,02249 %;8;0,03599 %;34;0,15294 %;73;0,32837 %;7;0,03149 %;27;0,12145 %;167;0,75120 %;25;0,11246 %;27;0,12145 %
BTSB;22;11;27150;18999;8151;0;13191;115;96;4483;34,23444 %;2253;17,20504 %;1572;12,00458 %;1482;11,31730 %;1561;11,92058 %;923;7,04849 %;155;1,18366 %;80;0,61092 %;112;0,85529 %;108;0,82474 %;23;0,17564 %;114;0,87056 %;4;0,03055 %;7;0,05346 %;12;0,09164 %;42;0,32073 %;8;0,06109 %;28;0,21382 %;85;0,64910 %;16;0,12218 %;27;0,20619 %
BTSB;23;11;20349;13382;6967;0;9942;108;41;3636;36,72356 %;1611;16,27108 %;1279;12,91789 %;1239;12,51389 %;1007;10,17069 %;590;5,95899 %;92;0,92920 %;43;0,43430 %;82;0,82820 %;83;0,83830 %;11;0,11110 %;66;0,66660 %;1;0,01010 %;6;0,06060 %;15;0,15150 %;25;0,25250 %;0;0,00000 %;21;0,21210 %;75;0,75750 %;6;0,06060 %;13;0,13130 %
BTSB;24;11;33061;23751;9310;0;14993;123;117;4641;31,19790 %;2732;18,36515 %;1630;10,95725 %;1636;10,99758 %;2184;14,68137 %;1151;7,73729 %;183;1,23017 %;73;0,49072 %;93;0,62517 %;127;0,85372 %;27;0,18150 %;120;0,80667 %;6;0,04033 %;12;0,08067 %;34;0,22856 %;41;0,27561 %;5;0,03361 %;34;0,22856 %;108;0,72600 %;21;0,14117 %;18;0,12100 %
